items,item_type,esdc_domain,edit_type,edit_reason,LMIC_Label,March_4_add,edit_type_software
Videoconferencing equipment,Tools and technology,Tools and technology,Tools and technology,,Video conferencing equipment,0,Tools and technology
Virtual private networking VPN software,Tools and technology,Tools and technology,Tools and technology,,Virtual private networking VPN software,0,Tech - Software
Virtual reality computed tomography CT imaging software,Tools and technology,Tools and technology,Tools and technology,,Virtual reality computed tomography CT imaging software,0,Tech - Software
Virus protection software,Tools and technology,Tools and technology,Tools and technology,,Virus protection software,0,Tech - Software
Viscometers,Tools and technology,Tools and technology,Tools and technology,,Viscometers,0,Tools and technology
Vision Software,Tools and technology,Tools and technology,Tools and technology,,Vision Software,0,Tech - Software
Vision systems,Tools and technology,Tools and technology,Knowledge,Type of manufacturing equipment and the processes so may be tools or knowledge,Vision systems,0,Knowledge
Visual Merchandising,Other,Work activities,Knowledge,,Visual Merchandising,0,Knowledge
Visual OTTHYMO,Tools and technology,Tools and technology,Tools and technology,,Visual OTTHYMO,0,Tech - Software
VMWare,Other,Work context,Tools and technology,Cloud computing and visualization software,VMWare,0,Tech - Software
VMWare ESX Server,Tools and technology,Tools and technology,Tools and technology,,VMWare ESX Server,0,Tech - Software
VMWare Workstation,Tools and technology,Tools and technology,Tools and technology,,VMWare Workstation,0,Tech - Software
Voice over internet protocol VoIP systems,Tools and technology,Tools and technology,Tools and technology,Could also be knowledge,Voice over internet protocol VoIP systems,0,Tech - Software
Voice recognition software,Tools and technology,Tools and technology,Tools and technology,,Voice recognition software,0,Tech - Software
Volt meters,Tools and technology,Tools and technology,Tools and technology,,Volt meters,0,Tools and technology
Voltmeters,Tools and technology,Tools and technology,Tools and technology,,Volt meters,0,Tools and technology
Volunteer Management,Skills,Skills,Skills,,Volunteer Management,0,Skills
VRML (Virtual reality modeling language),Knowledge,Knowledge,Tools and technology,I don't know if this qualifies as a language - seems like a file type,VRML (Virtual reality modeling language),0,Tech - Software
Walking floor trailers,Tools and Equipment,,Tools and technology,,Walking floor trailers,1,Tools and technology
Walmart Retail Link,Tools and technology,Tools and technology,Tools and technology,,Walmart Retail Link,0,Tech - Software
Warehouse management system WMS,Tools and technology,Tools and technology,Tools and technology,,Warehouse management system WMS,0,Tech - Software
Washing machines,Tools and technology,Tools and technology,Tools and technology,,Washing machines,0,Tools and technology
Water baths,Tools and technology,Tools and technology,Tools and technology,,Water baths,0,Tools and technology
Water filters,Tools and technology,Tools and technology,Tools and technology,,Water filters,0,Tools and technology
Water heaters,Tools and technology,Tools and technology,Tools and technology,,Water heaters,0,Tools and technology
Water pressure gauges,Tools and technology,Tools and technology,Tools and technology,,Water pressure gauges,0,Tools and technology
Water pump pliers,Tools and technology,Tools and technology,Tools and technology,,Water pump pliers,0,Tools and technology
Water pumps,Tools and technology,Tools and technology,Tools and technology,,Water pumps,0,Tools and technology
Water purification systems,Tools and technology,Tools and technology,Tools and technology,,Water purification systems,0,Tools and technology
Water Resource Management,Other,Work activities,Knowledge,,Water Resource Management,0,Knowledge
Water softeners,Tools and technology,Tools and technology,Tools and technology,,Water softeners,0,Tools and technology
Water spraying equipment,Tools and Equipment,,Tools and technology,,Water spraying equipment,1,Tools and technology
Water treatment equipment,Tools and technology,Tools and technology,Tools and technology,,Water treatment equipment,0,Tools and technology
Waterfall Software Development,Other,Work activities,Knowledge,Model of software development,Waterfall Software Development,0,Knowledge
Watershed modeling system WMS software,Tools and technology,Tools and technology,Tools and technology,,Watershed modeling system WMS software,0,Tech - Software
Watir,Tools and technology,Tools and technology,Tools and technology,,Watir,0,Tech - Software
Waveform monitors,Tools and technology,Tools and technology,Tools and technology,,Waveform monitors,0,Tech - Software
Waxing Machines,Tools and technology,Tools and technology,Tools and technology,,Waxing Machines,0,Tools and technology
Weather stations,Tools and technology,Tools and technology,Tools and technology,,Weather stations,0,Tools and technology
Web conferencing software,Tools and technology,Tools and technology,Tools and technology,,Web conferencing software,0,Tech - Software
Web Design,Other,Work activities,Knowledge,,Web Design,0,Knowledge
Web design software,Tools and technology,Tools and technology,Tools and technology,,Web design software,0,Tech - Software
Web Development,Other,Work activities,Knowledge,,Web Development,0,Knowledge
Web editing software,Tools and technology,Tools and technology,Tools and technology,,Web editing software,0,Tech - Software
Web page design software,Tools and technology,Tools and technology,Tools and technology,,Web design software,0,Tech - Software
Web server software,Tools and technology,Tools and technology,Tools and technology,,Web server software,0,Tech - Software
Web servers,Tools and technology,Tools and technology,Tools and technology,,Web servers,0,Tech - Software
WebCT,Tools and technology,Tools and technology,Tools and technology,,WebCT,0,Tech - Software
WebFOCUS,Tools and technology,Tools and technology,Tools and technology,,WebFOCUS,0,Tech - Software
Webinar software,Tools and technology,Tools and technology,Tools and technology,,Webinar software,0,Tech - Software
Website management software,Tools and technology,Tools and technology,Tools and technology,,Website management software,0,Tech - Software
Weight machines,Tools and technology,Tools and technology,Tools and technology,,Weight machines,0,Tools and technology
Welding electrodes,Tools and technology,Tools and technology,Tools and technology,,Welding electrodes,0,Tools and technology
Welding equipment,Tools and technology,Tools and technology,Tools and technology,,Welding equipment,0,Tools and technology
Welding guns,Tools and technology,Tools and technology,Tools and technology,,Welding guns,0,Tools and technology
Welding tools,Tools and technology,Tools and technology,Tools and technology,,Welding tools,0,Tools and technology
Welding torches,Tools and technology,Tools and technology,Tools and technology,,Welding torches,0,Tools and technology
Well drilling rigs,Tools and technology,Tools and technology,Tools and technology,,Well drilling rigs,0,Tools and technology
Westlaw,Other,Work context,Tools and technology,Online legal research service,Westlaw,0,Tech - Software
WhatsApp,Tools and technology,Tools and technology,Tools and technology,,WhatsApp,0,Tech - Software
Wheel chocks,Tools and technology,Tools and technology,Tools and technology,,Wheel chocks,0,Tools and technology
Wheelchair lifts,Tools and technology,Tools and technology,Tools and technology,,Wheelchair lifts,0,Tools and technology
Wheeled carts,Tools and technology,Tools and technology,Tools and technology,,Wheeled carts,0,Tools and technology
Whirlpool tubs,Tools and technology,Tools and technology,Tools and technology,,Whirlpool tubs,0,Tools and technology
Wide area network WAN optimization software,Tools and technology,Tools and technology,Tools and technology,,Wide area network WAN software,0,Tech - Software
Wide area network WAN software,Tools and technology,Tools and technology,Tools and technology,,Wide area network WAN software,0,Tech - Software
Wide format printers,Tools and technology,Tools and technology,Tools and technology,,Wide format printers,0,Tools and technology
WideOrbit,Tools and technology,Tools and technology,Tools and technology,,WideOrbit,0,Tech - Software
Winch trucks,Tools and technology,Tools and technology,Tools and technology,,Winch trucks,0,Tools and technology
Winches,Tools and technology,Tools and technology,Tools and technology,,Winches,0,Tools and technology
WinCross,Technologies,,Tools and technology,,WinCross,1,Tech - Software
Wind River VxWorks,Technologies,,Tools and technology,,Wind River VxWorks,1,Tech - Software
Windows servers,Tools and technology,Tools and technology,Tools and technology,,Microsoft Windows Server,0,Tech - Software
Windrowers,Tools and technology,Tools and technology,Tools and technology,,Windrowers,0,Tools and technology
Wire ropes,Tools and Equipment,,Tools and technology,,Wire ropes,1,Tools and technology
Wire strippers,Tools and technology,Tools and technology,Tools and technology,,Wire strippers,0,Tools and technology
Wireless microphones,Tools and technology,Tools and technology,Tools and technology,,Wireless microphones,0,Tools and technology
Wireshark,Tools and technology,Tools and technology,Tools and technology,,Wireshark,0,Tech - Software
Wonderware InTouch,Tools and technology,Tools and technology,Tools and technology,,Wonderware InTouch,0,Tech - Software
Wood chippers,Tools and technology,Tools and technology,Tools and technology,,Wood chippers,0,Tools and technology
